113,Botswana,68.6,9,6.6,4.1,5.9,7.7,6.1,5.3,6.4,4.8,4,2.9,5.8,2.6,9.4,4.6,4
114,Cyprus,68,4.8,4.5,7.6,5,7.6,4.3,5.2,3.4,3.6,5.3,7.9,8.8,1.2,4.7,1.2,0.3
115,Seychelles,67.9,6.1,4.3,5,4.5,6.9,5.8,7,4.5,5.9,5.6,6,6.3,1.7,5.9,0.5,1.2
115,South Africa,67.9,8.4,7,5.6,4.4,8.5,5,5.8,5.5,4.7,4.1,5.9,3,2.2,7.6,8,3.8
117,Brunei,67.6,5.4,4.2,6.6,3.8,7.8,3.7,7.7,3.5,6.9,5.9,7.4,4.7,1.7,4.7,0.3,0.8
118,Tunisia,67.5,5.7,3.4,5.4,5.2,7,5,6.4,5.7,7.5,6.5,6,3.7,1.9,6.3,6.5,1.5
119,Brazil,67.4,6.3,3.7,6.2,4.8,8.8,4,6.2,6,5.4,6.7,5.1,4.2,1.6,5.9,3.3,1.5
119,Jamaica,67.4,6,2.8,4.5,6.4,6.5,6.8,6.8,6.2,5.5,5.8,4,6.1,1.5,7.2,4.1,1.6
121,Albania,67.1,5.9,2.8,4.9,7.1,5.7,6.1,6.8,5.6,5.3,5.4,6,5.5,1.2,5.5,4.4,1.5
122,Ghana,67.1,7.1,5.3,5.2,7.9,6.4,5.8,5.1,7.6,4.7,2.6,4.2,5.2,3.4,9.2,6.9,5
123,Grenada,67,5.8,2.9,4.2,7.6,6.7,6.1,6.4,3.9,4.6,5.4,5.8,7.6,1.9,7.3,3.2,1.2
124,Trinidad and Tobago,66.1,5.6,3.1,4.9,7.3,7.2,4.8,5.9,5.2,5.4,6,5.6,5.1,1.5,5.1,1.1,2.1
125,Kuwait,61.5,5.5,4.1,5.1,4.1,6.1,3.8,6,3.1,6.5,4.9,7.2,5.1,2.2,3.9,0.9,0.9
126,Bulgaria,61.2,4.5,3.9,4.5,5.8,6.1,5.3,6,5,4.6,5.1,4.6,5.8,1,5.4,4.7,1.1
127,Antigua & Barbuda,60.9,4.7,3.4,4.5,7.3,6.1,5.5,5.3,4.6,4.7,4.6,4,6.2,1.7,5.3,2,0.8
128,Romania,60.2,5.4,3.2,5.6,4.9,5.6,5.6,6,4.8,4.3,4.1,5.2,5.5,1.1,6,6.2,1.2
129,Mongolia,60.1,5.6,1.4,4.3,2.3,5.9,5.7,6.2,5.3,6.4,4.8,5.3,6.9,2.4,9,7.3,2.5
130,Panama,59.3,6.3,3.5,4.4,5,7.5,5.6,4.8,5.5,4.5,5.2,3,4,2,6,3,1.7
131,Croatia,59,4.7,5.9,5.2,4.6,5.3,6.2,4.8,3.7,4.5,4.4,4.3,5.4,1,4.3,2.4,0.5
132,Bahamas,58.9,6.2,3.2,4.7,5.8,6.4,5,5.5,4.4,2.8,4.8,4.8,5.3,1.6,5.7,0.1,1.1
133,Bahrain,58.8,4.5,2.6,6.5,3.5,6,4,6.7,3.1,5.4,4.7,6.1,5.7,1.6,4.5,1.1,0.7
134,Montenegro,57.3,4.9,4.2,6.6,2.7,4.4,4.9,4.5,3.8,5.3,4.5,5.9,5.6,1.2,6.2,3.8,0.6
135,Barbados,55.4,4,3.2,4.9,6.5,6.7,5.4,4.1,3.1,2.8,4.5,4.5,5.7,1.2,3.5,3.5,1.4
137,United Arab Emirates,52.4,4.4,3.2,4.7,3.3,5.7,3.9,6.7,3.4,5.9,2.7,4,4.5,1.2,3.2,0.5,0.7
138,Costa Rica,52,5.5,4.6,3.9,4.5,6.5,5.4,3.9,4.1,3.3,2.5,3.2,4.6,1.6,6.3,3.6,0.9
139,Qatar,51.8,4.5,3,5.2,3.4,5.3,4.1,6.3,2.6,4.7,2.7,5,5,1.2,3.1,0.6,0.8
140,Estonia,50.7,4.5,4.2,5,4.1,5.2,5,4.5,3.3,3.3,2.6,5.5,3.5,1.2,2.6,2.2,0.4
141,Hungary,50.1,3.3,3.1,3.2,4.8,5.9,5.4,5.7,3.6,3.3,2.2,5,4.6,0.9,3.5,5.9,0.6
142,Poland,49,4.7,3.2,3.3,5.9,4.8,5,4.5,3.7,3.8,2.4,3.7,4,1.1,3.8,4.7,0.5
143,Slovakia,48.8,4.1,2.2,4.8,5.2,5.6,5,4.1,3.8,3.8,2.1,3.9,4.2,1.1,2.4,4,0.7
144,Oman,48.7,4.7,1.1,3,1.7,2.7,4.5,6,4.5,6.7,5.2,6.6,2,2.1,6.4,0.5,1
