70,Guatemala,79.4,7,5.9,7.1,6.8,7.6,6.1,6.8,6.7,6.7,7.3,6,5.4,2.9,8.9,3.7,2.8,6.3
12,Guinea,101.9,8.3,8,7.9,8,8.1,8.9,9.5,8.6,8.7,9.4,9.2,7.3,3.9,9.9,5.8,7.1,4.2
15,Guinea Bissau,99.2,8.7,7.5,5.7,7.7,7.8,9,9.3,8.5,7.5,9.4,9.2,8.9,3.8,9.8,5.8,7.3,4.2
104,Guyana,71.4,6.1,3.5,6.2,8.6,7.1,6.1,6.5,5.7,4.7,6.1,5.1,5.7,1.9,7,0.9,3.4,9.1
7,Haiti,104.9,9.5,8.1,7,8.8,8.6,9.5,9.3,9.3,7.7,8.2,9,9.7,2.7,9.2,6.8,8.6,3.2
75,Honduras,78.5,7.3,3.6,5.6,6.9,8.1,7.2,7,6.7,6.2,7,6.3,6.6,2.3,8.9,2.9,2.1,7.1
141,Hungary,48.3,2.8,2.8,3.8,4.2,5.2,5.9,5.8,3.4,3.2,2.6,4.7,4,0.9,3.5,5.9,0.6,4.1
166,Iceland,29.1,1.9,1.3,1,3.1,1.9,5.7,1.7,1.9,1.6,1.3,1.8,5.7,1.5,0.7,1.9,0.2,8.1
78,India,78,7.3,5.5,7.9,5.9,8.4,5.5,5.5,6.9,5.8,7.5,6.8,5,2.2,9.2,6,4.6,4
63,Indonesia,80.6,7.4,6.3,7.1,6.6,7.2,6,6.7,6.2,6.8,7.1,7,6.2,2.1,8.9,3.1,2.7,6.9
34,Iran,89.6,5.8,7.6,8.6,6.4,6.7,6.4,8.8,5.3,8.9,8.3,9.3,7.4,1.8,8.4,2.9,1.6,7.1
9,Iraq,104.3,8,8.5,9.7,8.6,8.7,7.7,8.4,7.8,8.3,9.9,9.6,9,3.5,9.7,1.9,3,8.1
170,Ireland,26.5,2.5,1.7,1.6,3,2.7,3.8,2.2,2.2,1.3,1.7,1.4,2.4,1.7,3,6.6,0.4,3.4
61,Israel/West Bank,82.2,6.5,7.3,9.5,3.5,7.8,4,7,6.2,7.9,6.8,8.1,7.6,2.2,3.2,2.3,0.4,7.7
145,Italy,45.8,3.3,3.6,5,2.9,3.8,4.6,5,2.7,3.2,4.9,4.8,2,1,4.6,4.9,0.3,5.1
119,Jamaica,65.8,5.9,3.1,4,7,6.2,6.6,6.4,5.6,5.2,6.2,3.7,6,1.5,7.2,4.1,1.6,5.9
151,Japan,43.5,8.3,4,3.8,2.1,2,4,2.5,5,3.2,2,2.6,4,0.9,2.2,1.3,0.2,8.7
90,Jordan,74.8,6.5,7.3,7,4.4,6.8,6.4,6.3,4.6,7.1,5.7,6.3,6.5,2.8,7.3,1.1,1.8,8.9
107,Kazakhstan,70.9,5.6,3.5,6.5,3.5,5.6,6.5,7.5,5.4,7.1,6.3,7.7,5.6,2.3,6.8,8,1.9,2
16,Kenya,98.4,8.9,8.4,8.9,7.7,8.2,7.3,8.6,8.1,7.4,7.6,9,8.4,3.7,8.6,4.8,4.2,5.2
128,Kuwait,58.8,4.9,3.5,4.6,4,5.6,3.7,6.5,2.9,6.5,4.7,7.2,4.7,2.2,3.9,0.9,0.9,9.1
41,Kyrgyzstan,87.4,6.5,5.3,8.4,6.7,7.3,7.9,8.7,5.4,7.8,7.4,8.3,7.6,2.7,8.4,5.5,2.7,4.5
48,Laos,85.5,7.8,5.5,6.3,7.1,5.8,6.7,8.3,7.4,8.2,6.9,8.6,6.9,2.8,9.3,1,5.9,9
45,Lebanon,85.8,6.2,8.2,8.4,6.3,6.5,5.5,7.5,5.5,6.5,8.4,9.1,7.7,1.4,5.6,6.3,0.9,3.7
72,Lesotho,79,8.7,4.6,4.7,6.5,6.4,8.6,6.3,8,5.7,5.5,7,6.9,2.9,9.6,7.7,7.5,2.3
25,Liberia,93.3,8.4,8.9,6.5,6.7,7.7,8.6,6.9,8.8,6.1,7,8.4,9.3,3.7,9.8,2.8,6.5,7.2
50,Libya,84.9,5.8,5.1,7,3.9,7,5.5,8.1,7.6,9,9,8,9,2.3,8.6,0.9,1.4,9.1
149,Lithuania,44.2,3.8,2.9,4,4.4,5.4,5,3.5,3.1,2.9,2.8,2.8,3.5,1,3.8,4.4,0.6,5.6
172,Luxembourg,25.5,2,2.1,2.8,1.8,1.8,1.8,2.2,1.6,1.3,2.3,3.4,2.3,1.2,0.9,5.1,0.2,4.9
109,Macedonia,69.1,4.2,4.9,7.6,6.4,6.5,5.9,6.4,4.2,4.6,5.7,6.7,5.9,1.1,4.8,4.4,0.9,5.6
58,Madagascar,82.5,8,4.4,5.2,5.2,7.6,7.9,7.3,8.3,6,6.9,7.8,8,3.5,9.8,7.1,4.2,2.9
36,Malawi,88.8,8.8,6.2,5.7,7.8,7.7,8.5,8,7.9,7.1,5.1,7.6,8.4,4.1,9.8,6,5.8,4
110,Malaysia,68.5,5.7,4.5,6.4,4.4,6.4,4.6,6.5,4.8,7.4,6.3,6.8,4.7,1.7,4.4,2.3,0.7,7.7
