69,Gambia,80.9,7.9,6.4,4,6.5,6.6,7.1,7.5,7,7.5,6.1,6.8,7.5,4.3,9.1,6.1
47,Georgia,86.4,5.8,7.5,8,5.5,6.9,6,8.4,6,6.9,7.9,9,8.5,1.4,7.3,3.6
162,Germany,33.9,2.9,4.2,4.7,2.6,4.4,2.9,1.9,2,2,2.2,2.1,2,0.8,1.8,4.8
115,Ghana,67.7,6.8,5.5,5.5,7.6,6.3,6.1,4.8,7.7,4.5,3,4.2,5.6,3.4,9.2,6.9
143,Greece,47.4,4.1,2.6,4.5,4.4,4.3,5.1,4.9,3.8,3.1,3.8,2.5,4.3,1,5.6,6.4
119,Grenada,66.4,5.8,3.2,3.9,8,6.5,5.7,6.2,4.2,4.3,5.3,5.6,7.7,1.9,7.3,3.2
72,Guatemala,80.1,7.3,5.6,6.9,6.5,7.7,6.5,6.8,6.9,6.9,7.6,6,5.3,2.9,8.9,3.7
11,Guinea,102.5,8.2,7.7,7.9,8.3,8.4,8.6,9.4,8.7,9.2,9.3,9.2,7.6,3.9,9.9,5.8
19,Guinea Bissau,98.3,8.7,7.2,5.4,7.4,8.1,8.7,9.2,8.4,7.8,9.3,9.2,8.8,3.8,9.8,5.8
99,Guyana,72.6,6.4,3.6,5.9,8.4,7.4,6.4,6.5,5.5,5,6.3,5.1,6,1.9,7,0.9
5,Haiti,108,10,9.2,7.3,8.9,8.8,9.2,9.4,10,8,8.4,8.8,10,2.7,9.2,6.8
78,Honduras,78.3,7.6,3.9,5.3,6.6,8.1,7,7.3,6.6,6.3,6.5,6.3,6.9,2.3,8.9,2.9
142,Hungary,48.7,3.1,3.1,3.5,4.5,5.5,5.4,5.4,3.7,3,2.5,4.7,4.3,0.9,3.5,5.9
165,Iceland,30.1,1.6,1.5,1,3.3,2.2,6.2,2,1.9,1.6,1,1.8,6,1.5,0.7,1.9
76,India,79.3,8,5,8.2,6.2,8.5,5.4,5.8,7.2,5.9,7.8,6.8,4.5,2.2,9.2,6
64,Indonesia,81.6,7.4,6.6,6.6,6.9,7.5,6.4,6.7,6.5,6.3,7.1,7,6.5,2.1,8.9,3.1
35,Iran,90.2,6.1,7.9,8.5,6.7,7,5.4,9.1,5.6,9,8.6,9.2,7,1.8,8.4,2.9
9,Iraq,104.8,8.3,9,9,8.9,9,7,8.7,8,8.6,9.5,9.6,9.3,3.5,9.7,1.9
171,Ireland,25.3,2.3,2,1.3,2.4,2.6,3.9,2,2.2,1.2,1.6,1.4,2.4,1.7,3,6.6
53,Israel/West Bank,84.4,6.8,7.6,9.6,3.8,7.8,4.3,7.3,6.5,7.9,7,8.1,7.8,2.2,3.2,2.3
147,Italy,45.8,3.6,3.5,5.3,3.2,4.1,4.2,4.7,2.8,3.1,4.9,4.4,2,1,4.6,4.9
118,Jamaica,67.1,6.2,3.4,4.3,6.7,6.2,6.3,6.5,5.9,5.3,6.3,3.7,6.3,1.5,7.2,4.1
164,Japan,31,3.6,1.1,3.9,1.8,2.3,3.5,2,1.7,3,2,2.6,3.5,0.9,2.2,1.3
95,Jordan,74.5,6.4,7.6,6.7,4.7,6.9,5.8,5.7,4.9,6.8,6,6.3,6.8,2.8,7.3,1.1
107,Kazakhstan,70.2,5.5,3.8,6,3.8,5.9,6.2,7.2,5.1,6.9,6.2,7.7,5.9,2.3,6.8,8
16,Kenya,98.7,8.8,8.5,8.7,7.6,8.5,7,8.9,7.8,7.7,7.9,8.8,8.5,3.7,8.6,4.8
128,Kuwait,59.5,5.1,3.8,4.9,4.3,5.9,4,5.7,2.9,6.2,4.5,7.2,5,2.2,3.9,0.9
31,Kyrgyzstan,91.8,7.6,6.5,8.3,7,7.6,7.6,9,6,8,8,8.3,7.9,2.7,8.4,5.5
46,Laos,86.7,7.6,5.8,6.5,6.8,5.7,7.2,8,7.7,8.5,7.1,8.6,7.2,2.8,9.3,1
43,Lebanon,87.7,6.5,8.5,8.7,6.6,6.8,5.7,7,5.8,6.6,8.7,8.8,8,1.4,5.6,6.3
71,Lesotho,80.4,9,4.6,5,6.8,6.1,8.1,6.9,8.2,6,5.5,7,7.2,2.9,9.6,7.7
26,Liberia,94,8.3,8.6,6.8,7,8,8.4,7,8.8,6.3,7.3,8.1,9.3,3.7,9.8,2.8
